id,LocId,State Id,City,Name,ARPLatitude,ARPLongitude,Elevation,Sectional,UNICOM,CTAF,ICAOId
1,AAA,IL,LINCOLN,LOGAN COUNTY,040-09-31.3000N,089-20-06.1000W,594.3,CHICAGO,122.8,122.8,KAAA
2,AAF,FL,APALACHICOLA,APALACHICOLA RGNL-CLEVE RANDOLPH FLD,029-43-39.1800N,085-01-38.5600W,19.6,NEW ORLEANS,122.8,122.8,KAAF
3,AAO,KS,WICHITA,COLONEL JAMES JABARA,037-44-51.2700N,097-13-16.0200W,1420.8,WICHITA,122.7,122.7,KAAO
4,AAS,KY,CAMPBELLSVILLE,TAYLOR COUNTY,037-21-29.8000N,085-18-33.9000W,920.5,ST LOUIS,122.7,122.7,KAAS
5,AAT,CA,ALTURAS,ALTURAS MUNI,041-28-58.3000N,120-33-55.5000W,4378.3,KLAMATH FALLS,122.8,122.8,KAAT
6,ABE,PA,ALLENTOWN,LEHIGH VALLEY INTL,040-39-08.5100N,075-26-25.4600W,393.7,NEW YORK,122.95,,KABE
7,ABI,TX,ABILENE,ABILENE RGNL,032-24-40.8000N,099-40-54.8000W,1790.6,DALLAS-FT WORTH,122.95,,KABI
8,ABQ,NM,ALBUQUERQUE,ALBUQUERQUE INTL SUNPORT,035-02-20.1500N,106-36-29.7400W,5354.9,ALBUQUERQUE,122.95,,KABQ
9,ABR,SD,ABERDEEN,ABERDEEN RGNL,045-26-48.4700N,098-25-20.7900W,1301.9,TWIN CITIES,122.7,122.7,KABR
10,ABY,GA,ALBANY,SOUTHWEST GEORGIA RGNL,031-32-07.9000N,084-11-40.1000W,196.2,JACKSONVILLE,122.95,120.25,KABY
11,ACB,MI,BELLAIRE,ANTRIM COUNTY,044-59-18.8800N,085-11-54.0500W,622.9,GREEN BAY,122.7,122.7,KACB
12,ACJ,GA,AMERICUS,JIMMY CARTER RGNL,032-06-38.9000N,084-11-19.9000W,468.4,ATLANTA,122.8,122.8,KACJ
13,ACK,MA,NANTUCKET,NANTUCKET MEML,041-15-10.7100N,070-03-35.6800W,47,NEW YORK,122.95,118.3,KACK
14,ACP,LA,OAKDALE,ALLEN PARISH,030-45-01.8300N,092-41-18.5700W,107.1,HOUSTON,122.8,122.8,KACP
15,ACQ,MN,WASECA,WASECA MUNI,044-04-24.5000N,093-33-10.6000W,1126.5,OMAHA,122.8,122.8,KACQ
16,ACT,TX,WACO,WACO RGNL,031-36-43.9000N,097-13-49.1000W,516.1,SAN ANTONIO,122.95,119.3,KACT
17,ACV,CA,ARCATA/EUREKA,CALIFORNIA REDWOOD COAST-HUMBOLDT COUNTY,040-58-40.2000N,124-06-30.5000W,222.3,KLAMATH FALLS,123,123,KACV
18,ACY,NJ,ATLANTIC CITY,ATLANTIC CITY INTL,039-27-27.3000N,074-34-37.8000W,74.8,WASHINGTON,,,KACY
19,ACZ,NC,WALLACE,HENDERSON FLD,034-43-04.3000N,078-00-14.0000W,38.1,CHARLOTTE,122.8,122.8,KACZ
20,ADC,MN,WADENA,WADENA MUNI,046-26-59.8000N,095-12-39.0000W,1368,TWIN CITIES,122.8,122.8,KADC
21,ADF,AR,ARKADELPHIA,DEXTER B FLORENCE MEML FLD,034-05-59.3000N,093-03-57.9000W,181.5,MEMPHIS,122.7,122.7,KADF
